,target,corpus,a12,p_val
0,libpng_read_fuzzer,poco,0.535,0.40989747329485365
1,libpng_read_fuzzer,cminplus,0.485,0.5601752889107675
2,libpng_read_fuzzer,poco-2h,0.435,0.7018566892135265
3,libpng_read_fuzzer,cminplus-2h,0.445,0.6751722942988053
4,libpng_read_fuzzer,optimin,0.155,0.9960197965926851
5,libpng_read_fuzzer,all,0.07,0.9995048126721421
6,libxml2_xml_read_memory_fuzzer,poco,0.535,0.4102647530547058
7,libxml2_xml_read_memory_fuzzer,cminplus,0.42,0.739895497109719
8,libxml2_xml_read_memory_fuzzer,poco-2h,0.61,0.21367765694890384
9,libxml2_xml_read_memory_fuzzer,cminplus-2h,0.42,0.7398169895517346
10,libxml2_xml_read_memory_fuzzer,optimin,0.0,0.9999333592399485
11,libxml2_xml_read_memory_fuzzer,all,0.03,0.9998359333425899
12,lua,poco,0.58,0.2853027517557345
13,lua,cminplus,0.41,0.7638288062765723
14,lua,poco-2h,0.475,0.5897684505808523
15,lua,cminplus-2h,0.49,0.5451559618882548
16,lua,optimin,0.225,0.9829206910893744
17,lua,all,0.4,0.7864092569965995
18,sndfile_fuzzer,poco,0.295,0.9438622470097215
19,sndfile_fuzzer,cminplus,0.305,0.9347873113936825
20,sndfile_fuzzer,poco-2h,0.675,0.09921341264165767
21,sndfile_fuzzer,cminplus-2h,0.495,0.5301511405903596
22,sndfile_fuzzer,optimin,0.57,0.3115881119410587
23,sndfile_fuzzer,all,0.46,0.6331350021518765
24,sqlite3_fuzz,cminplus,0.52,0.4548440381117453
25,sqlite3_fuzz,poco,0.52,0.4548440381117453
26,sqlite3_fuzz,poco-2h,0.52,0.4548440381117453
27,sqlite3_fuzz,cminplus-2h,0.42,0.7398169895517346
28,sqlite3_fuzz,optimin,0.0,0.9999329697399769
29,sqlite3_fuzz,all,1.0,9.082557304573249e-05
30,tiff_read_rgba_fuzzer,poco,0.55,0.36676859361557407
31,tiff_read_rgba_fuzzer,cminplus,0.5,0.5150750115034222
32,tiff_read_rgba_fuzzer,poco-2h,0.57,0.3115881119410587
33,tiff_read_rgba_fuzzer,cminplus-2h,0.44,0.6884772345810461
34,tiff_read_rgba_fuzzer,optimin,0.53,0.42502551244863873
35,tiff_read_rgba_fuzzer,all,0.655,0.12833018495792847
36,tiffcp,poco,0.4,0.7863223430510962
37,tiffcp,cminplus,0.31,0.9297674759208225
38,tiffcp,poco-2h,0.635,0.1627847033704996
39,tiffcp,cminplus-2h,0.56,0.3386779729030972
40,tiffcp,optimin,0.29,0.9479450551698866
41,tiffcp,all,0.41,0.763745465837807
42,xmllint,poco,0.54,0.3956300532015894
43,xmllint,cminplus,0.44,0.6884772345810461
44,xmllint,poco-2h,0.53,0.42502551244863873
45,xmllint,cminplus-2h,0.35,0.8795162244413932
46,xmllint,optimin,0.02,0.9998769359360474
47,xmllint,all,0.21,0.9871259595894459
