,corpus,target,time,edges_ave,cov_rate_ave
0,poco,libpng_read_fuzzer,86400,1464.9,0.218543936
1,cminplus,libpng_read_fuzzer,86400,1462.4,0.218170968
2,cmin,libpng_read_fuzzer,86400,1462.2,0.218141131
4,poco-2h,libpng_read_fuzzer,86400,1460.6,0.217902432
3,cminplus-2h,libpng_read_fuzzer,86400,1459.9,0.217798001
5,optimin,libpng_read_fuzzer,86400,1450.4,0.216380725
6,all,libpng_read_fuzzer,86400,1441.9,0.215112636
7,poco-2h,libxml2_xml_read_memory_fuzzer,86400,8755.6,0.134610418
8,poco,libxml2_xml_read_memory_fuzzer,86400,8744,0.134432077
9,cmin,libxml2_xml_read_memory_fuzzer,86400,8738.1,0.134341369
10,cminplus-2h,libxml2_xml_read_memory_fuzzer,86400,8736,0.134309083
11,cminplus,libxml2_xml_read_memory_fuzzer,86400,8732.3,0.134252199
12,all,libxml2_xml_read_memory_fuzzer,86400,8650.9,0.133000738
13,optimin,libxml2_xml_read_memory_fuzzer,86400,8620.9,0.132539512
14,poco,lua,86400,4936.6,0.8337443
15,poco-2h,lua,86400,4930.9,0.832781625
16,cmin,lua,86400,4908.9,0.829066036
17,cminplus-2h,lua,86400,4885,0.825029556
18,cminplus,lua,86400,4868.8,0.822293531
19,all,lua,86400,4857,0.820300625
20,optimin,lua,86400,4778.3,0.807008951
21,poco-2h,sndfile_fuzzer,86400,2989.1,0.157122582
22,optimin,sndfile_fuzzer,86400,2976.9,0.156481287
23,cmin,sndfile_fuzzer,86400,2972.7,0.156260513
24,cminplus-2h,sndfile_fuzzer,86400,2967.3,0.155976661
25,all,sndfile_fuzzer,86400,2953.4,0.155246005
26,poco,sndfile_fuzzer,86400,2939.9,0.154536375
27,cminplus,sndfile_fuzzer,86400,2937,0.154383936
28,all,sqlite3_fuzz,86400,14896.2,0.479100733
29,cminplus,sqlite3_fuzz,86400,12688,0.408079249
30,poco,sqlite3_fuzz,86400,12665.5,0.40735559
31,poco-2h,sqlite3_fuzz,86400,12665.5,0.40735559
32,cmin,sqlite3_fuzz,86400,12614.1,0.405702431
33,cminplus-2h,sqlite3_fuzz,86400,12538.1,0.403258073
34,optimin,sqlite3_fuzz,86400,11161.1,0.358970153
35,all,tiff_read_rgba_fuzzer,86400,3894.2,0.293436817
36,poco-2h,tiff_read_rgba_fuzzer,86400,3871.5,0.291726321
37,poco,tiff_read_rgba_fuzzer,86400,3862.4,0.291040615
38,cminplus,tiff_read_rgba_fuzzer,86400,3854.5,0.290445332
39,optimin,tiff_read_rgba_fuzzer,86400,3854,0.290407656
40,cmin,tiff_read_rgba_fuzzer,86400,3850.2,0.290121317
41,cminplus-2h,tiff_read_rgba_fuzzer,86400,3832.3,0.288772511
42,poco-2h,tiffcp,86400,4276.9,0.334577173
43,cminplus-2h,tiffcp,86400,4264,0.33356802
44,cmin,tiffcp,86400,4246.5,0.332199014
45,poco,tiffcp,86400,4210.5,0.329382774
46,all,tiffcp,86400,4209.1,0.329273254
47,optimin,tiffcp,86400,4174.7,0.326582179
48,cminplus,tiffcp,86400,4159.9,0.325424392
49,poco,xmllint,86400,8019.1,0.118531055
50,poco-2h,xmllint,86400,8018,0.118514796
51,cmin,xmllint,86400,8017.8,0.11851184
52,cminplus,xmllint,86400,8004,0.118307861
53,cminplus-2h,xmllint,86400,7998,0.118219174
54,all,xmllint,86400,7946.4,0.11745647
55,optimin,xmllint,86400,7891.4,0.11664351
