,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1745766844,0,30,30
1,2,1745766852,8,30,31
2,3,1745767067,223,31,33
3,4,1745767334,490,31,34
4,5,1745767336,492,31,36
5,6,1745767348,504,32,40
6,7,1745768279,1435,32,46
7,8,1745768717,1873,32,51
8,9,1745768792,1948,32,60
9,10,1745770947,4103,32,65
10,11,1745771980,5136,34,76
11,12,1745773305,6461,34,87
12,13,1745773333,6489,34,88
13,14,1745773336,6492,34,90
14,15,1745773345,6501,35,97
15,16,1745774434,7590,35,101
16,17,1745774532,7688,35,103
17,18,1745774569,7725,35,107
18,19,1745774653,7809,35,112
19,20,1745775786,8942,36,121
20,21,1745775974,9130,36,132
21,22,1745776105,9261,36,143
22,23,1745776239,9395,36,155
23,24,1745778479,11635,38,169
24,25,1745782380,15536,38,181
25,26,1745783563,16719,38,194
26,27,1745785900,19056,39,213
27,28,1745789720,22876,39,230
28,29,1745789954,23110,39,249
29,30,1745790184,23340,39,266
30,31,1745790339,23495,39,286
31,32,1745792808,25964,39,305
32,33,1745792984,26140,40,327
33,34,1745841851,75007,42,356
34,35,1745842151,75307,45,387
35,36,1745843493,76649,45,417
36,37,1745843721,76877,45,447
37,38,1745845836,78992,45,477
38,39,1745845948,79104,45,507
39,40,1745846060,79216,45,537
40,41,1745846173,79329,45,567
41,42,1745846286,79442,45,567
