,target,bug,all,optimin,cmin,cminplus-2h,cminplus,poco-2h,poco,cmin_delta,cmin_26h
0,sndfile_fuzzer,S01,480 \tiny{(1.0)},418 \tiny{(1.0)},800 \tiny{(1.0)},652 \tiny{(1.0)},282 \tiny{(1.0)},838 \tiny{(1.0)},775 \tiny{(1.0)},800 \tiny{(1.0)},800 \tiny{(1.0)}
1,sndfile_fuzzer,S05,892 \tiny{(1.0)},485 \tiny{(0.9)},508 \tiny{(1.0)},1632 \tiny{(1.0)},442 \tiny{(1.0)},1168 \tiny{(1.0)},1418 \tiny{(1.0)},508 \tiny{(1.0)},508 \tiny{(1.0)}
2,sndfile_fuzzer,S06,1440 \tiny{(0.9)},1025 \tiny{(0.9)},1258 \tiny{(1.0)},1620 \tiny{(0.9)},435 \tiny{(0.9)},1380 \tiny{(1.0)},1272 \tiny{(1.0)},1258 \tiny{(1.0)},1258 \tiny{(1.0)}
3,sndfile_fuzzer,S07,790 \tiny{(1.0)},915 \tiny{(1.0)},1120 \tiny{(1.0)},1510 \tiny{(1.0)},852 \tiny{(1.0)},1080 \tiny{(1.0)},1392 \tiny{(1.0)},1120 \tiny{(1.0)},1120 \tiny{(1.0)}
4,sndfile_fuzzer,S17,1375 \tiny{(1.0)},270 \tiny{(1.0)},262 \tiny{(1.0)},188 \tiny{(1.0)},375 \tiny{(1.0)},422 \tiny{(1.0)},272 \tiny{(1.0)},262 \tiny{(1.0)},262 \tiny{(1.0)}
5,sndfile_fuzzer,S20,1380 \tiny{(1.0)},635 \tiny{(1.0)},1195 \tiny{(1.0)},1282 \tiny{(1.0)},905 \tiny{(1.0)},1638 \tiny{(1.0)},1018 \tiny{(1.0)},1195 \tiny{(1.0)},1195 \tiny{(1.0)}
6,sndfile_fuzzer,S24,718 \tiny{(1.0)},935 \tiny{(1.0)},1120 \tiny{(1.0)},1342 \tiny{(1.0)},475 \tiny{(1.0)},1075 \tiny{(1.0)},1038 \tiny{(1.0)},1120 \tiny{(1.0)},1120 \tiny{(1.0)}
7,xmllint,X01,65475 \tiny{(0.8)},56530 \tiny{(0.7)},50740 \tiny{(0.4)},65125 \tiny{(0.5)},53440 \tiny{(0.5)},42330 \tiny{(0.5)},41312 \tiny{(0.6)},50740 \tiny{(0.4)},50975 \tiny{(0.5)}
8,xmllint,X02,---,---,---,---,---,75835 \tiny{(0.1)},38690 \tiny{(0.1)},---,---
9,xmllint,X09,908 \tiny{(1.0)},1368 \tiny{(1.0)},1730 \tiny{(1.0)},980 \tiny{(1.0)},1568 \tiny{(1.0)},1498 \tiny{(1.0)},1212 \tiny{(1.0)},1730 \tiny{(1.0)},1730 \tiny{(1.0)}
10,xmllint,X12,---,35765 \tiny{(0.3)},40990 \tiny{(0.1)},35230 \tiny{(0.1)},---,45732 \tiny{(0.2)},---,40990 \tiny{(0.1)},40990 \tiny{(0.1)}
11,xmllint,X17,20 \tiny{(1.0)},22 \tiny{(1.0)},38 \tiny{(1.0)},38 \tiny{(1.0)},20 \tiny{(1.0)},38 \tiny{(1.0)},28 \tiny{(1.0)},38 \tiny{(1.0)},38 \tiny{(1.0)}
12,libxml2_xml_read_memory_fuzzer,X01,1302 \tiny{(1.0)},2130 \tiny{(1.0)},1815 \tiny{(1.0)},1338 \tiny{(1.0)},1578 \tiny{(1.0)},1315 \tiny{(1.0)},2468 \tiny{(1.0)},1815 \tiny{(1.0)},1815 \tiny{(1.0)}
13,libxml2_xml_read_memory_fuzzer,X02,19550 \tiny{(0.1)},---,---,---,48790 \tiny{(0.1)},---,---,---,---
14,libxml2_xml_read_memory_fuzzer,X03,6750 \tiny{(1.0)},68800 \tiny{(0.2)},---,81625 \tiny{(0.1)},29475 \tiny{(1.0)},8590 \tiny{(1.0)},15900 \tiny{(1.0)},---,---
15,libxml2_xml_read_memory_fuzzer,X09,1660 \tiny{(1.0)},2468 \tiny{(1.0)},1832 \tiny{(1.0)},1955 \tiny{(1.0)},1635 \tiny{(1.0)},2042 \tiny{(1.0)},1370 \tiny{(1.0)},1832 \tiny{(1.0)},1832 \tiny{(1.0)}
16,libxml2_xml_read_memory_fuzzer,X12,49325 \tiny{(0.1)},64118 \tiny{(0.4)},---,---,77955 \tiny{(0.3)},---,71975 \tiny{(0.1)},---,---
17,libxml2_xml_read_memory_fuzzer,X17,30 \tiny{(1.0)},20 \tiny{(1.0)},32 \tiny{(1.0)},25 \tiny{(1.0)},20 \tiny{(1.0)},22 \tiny{(1.0)},22 \tiny{(1.0)},32 \tiny{(1.0)},32 \tiny{(1.0)}
18,sqlite3_fuzz,Q02,1740 \tiny{(1.0)},3312 \tiny{(1.0)},4308 \tiny{(1.0)},2860 \tiny{(1.0)},2838 \tiny{(1.0)},4328 \tiny{(1.0)},4328 \tiny{(1.0)},4308 \tiny{(1.0)},4308 \tiny{(1.0)}
19,sqlite3_fuzz,Q10,51205 \tiny{(0.1)},---,---,---,---,---,---,---,---
20,sqlite3_fuzz,Q12,33455 \tiny{(0.2)},37105 \tiny{(0.3)},36855 \tiny{(0.7)},39785 \tiny{(0.6)},40875 \tiny{(0.3)},37685 \tiny{(0.6)},37685 \tiny{(0.6)},36855 \tiny{(0.7)},36855 \tiny{(0.7)}
21,sqlite3_fuzz,Q13,---,---,73575 \tiny{(0.1)},---,---,---,---,73575 \tiny{(0.1)},73575 \tiny{(0.1)}
22,sqlite3_fuzz,Q14,11142 \tiny{(1.0)},7482 \tiny{(1.0)},18380 \tiny{(0.9)},11740 \tiny{(0.9)},11390 \tiny{(0.9)},12178 \tiny{(1.0)},12178 \tiny{(1.0)},18380 \tiny{(0.9)},18380 \tiny{(0.9)}
23,sqlite3_fuzz,Q15,54535 \tiny{(0.1)},---,---,---,---,---,---,---,---
24,sqlite3_fuzz,Q18,2962 \tiny{(1.0)},10948 \tiny{(1.0)},14118 \tiny{(1.0)},8005 \tiny{(1.0)},6010 \tiny{(1.0)},8978 \tiny{(1.0)},8978 \tiny{(1.0)},14118 \tiny{(1.0)},14118 \tiny{(1.0)}
25,sqlite3_fuzz,Q20,40700 \tiny{(0.7)},---,81005 \tiny{(0.1)},38090 \tiny{(0.1)},---,80542 \tiny{(0.2)},80542 \tiny{(0.2)},81005 \tiny{(0.1)},81005 \tiny{(0.1)}
26,lua,L02,---,---,---,---,---,---,71365 \tiny{(0.1)},---,---
27,lua,L03,54690 \tiny{(0.7)},---,---,---,43420 \tiny{(0.1)},32910 \tiny{(0.1)},27572 \tiny{(0.2)},---,---
28,lua,L04,30178 \tiny{(0.2)},---,28670 \tiny{(0.5)},37645 \tiny{(0.7)},64010 \tiny{(0.3)},22685 \tiny{(0.3)},50235 \tiny{(0.7)},48868 \tiny{(0.6)},48868 \tiny{(0.6)}
29,libpng_read_fuzzer,P01,---,---,---,43060 \tiny{(0.1)},---,---,---,---,---
30,libpng_read_fuzzer,P03,102 \tiny{(1.0)},15 \tiny{(1.0)},22 \tiny{(1.0)},25 \tiny{(1.0)},25 \tiny{(1.0)},25 \tiny{(1.0)},25 \tiny{(1.0)},22 \tiny{(1.0)},22 \tiny{(1.0)}
31,libpng_read_fuzzer,P06,205 \tiny{(1.0)},50 \tiny{(1.0)},125 \tiny{(1.0)},98 \tiny{(1.0)},170 \tiny{(1.0)},100 \tiny{(1.0)},135 \tiny{(1.0)},125 \tiny{(1.0)},125 \tiny{(1.0)}
32,libpng_read_fuzzer,P07,1790 \tiny{(0.3)},9538 \tiny{(1.0)},11215 \tiny{(1.0)},20590 \tiny{(0.9)},13038 \tiny{(1.0)},14515 \tiny{(0.7)},13965 \tiny{(0.9)},11215 \tiny{(1.0)},11215 \tiny{(1.0)}
33,tiffcp,T02,---,---,22920 \tiny{(0.1)},955 \tiny{(0.1)},---,59720 \tiny{(0.1)},---,22920 \tiny{(0.1)},22920 \tiny{(0.1)}
