,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1746423790,0,84,84
1,2,1746423795,5,85,85
2,3,1746423796,6,85,87
3,4,1746424836,1046,85,90
4,5,1746424957,1167,85,93
5,6,1746424960,1170,85,95
6,7,1746424962,1172,85,98
7,8,1746424968,1178,85,100
8,9,1746424970,1180,85,103
9,10,1746424978,1188,89,115
10,11,1746424983,1193,92,126
11,12,1746424989,1199,95,138
12,13,1746424996,1206,98,153
13,14,1746425034,1244,101,169
14,15,1746425074,1284,101,190
15,16,1746425083,1293,102,210
16,17,1746425092,1302,102,231
17,18,1746425440,1650,102,252
18,19,1746425450,1660,103,273
19,20,1746425911,2121,103,294
20,21,1746425926,2136,103,316
21,22,1746425939,2149,104,337
22,23,1746425952,2162,104,360
23,24,1746425962,2172,124,408
24,25,1746439071,15281,125,432
25,26,1746440440,16650,133,467
26,27,1746446520,22730,133,550
27,28,1746479710,55920,133,634
28,29,1746480866,57076,133,718
29,30,1746481985,58195,133,802
30,31,1746482354,58564,133,886
31,32,1746482722,58932,133,970
32,33,1746483093,59303,133,1054
33,34,1746483464,59674,133,1054
