,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1746005847,0,346,346
1,2,1746005850,3,346,347
2,3,1746006004,157,347,348
3,4,1746007192,1345,347,349
4,5,1746007357,1510,347,352
5,6,1746011207,5360,347,353
6,7,1746011463,5616,350,360
7,8,1746011760,5913,350,361
8,9,1746012065,6218,351,369
9,10,1746012397,6550,374,436
10,11,1746029835,23988,374,437
11,12,1746030468,24621,380,455
12,13,1746031086,25239,385,478
13,14,1746035563,29716,386,501
14,15,1746035764,29917,388,524
15,16,1746035970,30123,388,546
16,17,1746036177,30330,388,569
17,18,1746036384,30537,388,593
18,19,1746036593,30746,389,615
19,20,1746036803,30956,389,639
20,21,1746037014,31167,390,663
21,22,1746037224,31377,391,687
22,23,1746037435,31588,392,710
23,24,1746037645,31798,393,734
24,25,1746037854,32007,393,757
25,26,1746038064,32217,394,781
26,27,1746038274,32427,394,804
27,28,1746038484,32637,396,828
28,29,1746038694,32847,397,851
29,30,1746038903,33056,397,874
30,31,1746039124,33277,397,875
31,32,1746039595,33748,413,913
32,33,1746281360,275513,414,914
33,34,1746361422,355575,415,915
34,35,1746363971,358124,416,916
35,36,1746366530,360683,417,917
36,37,1746369077,363230,418,918
37,38,1746371614,365767,419,919
38,39,1746374155,368308,420,920
39,40,1746376693,370846,421,921
40,41,1746379185,373338,422,922
41,42,1746381612,375765,423,923
42,43,1746384036,378189,424,924
43,44,1746386470,380623,424,925
44,45,1746388894,383047,424,925
