,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1750316547,0,123,123
1,2,1750316601,54,126,128
2,3,1750353891,37344,126,130
3,4,1750353895,37348,126,131
4,5,1750353902,37355,127,133
5,6,1750353979,37432,136,156
6,7,1750380736,64189,141,185
7,8,1750388181,71634,150,225
8,9,1750396286,79739,163,303
9,10,1750455857,139310,163,380
10,11,1750455897,139350,163,455
11,12,1750455942,139395,163,519
12,13,1750456006,139459,164,587
13,14,1750460025,143478,164,662
14,15,1750464030,147483,172,749
15,16,1750468361,151814,172,836
16,17,1750470608,154061,172,913
17,18,1750482712,166165,172,991
18,19,1750482730,166183,172,1067
19,20,1750482772,166225,172,1144
20,21,1750485352,168805,172,1220
21,22,1750490084,173537,172,1310
22,23,1750552926,236379,172,1310
