,rnd,time,rel_time,seed_cnt,seed_cnt_wo_dedup
0,1,1745912611,0,25,25
1,2,1745912611,0,25,26
2,3,1745912723,112,27,32
3,4,1745915513,2902,28,40
4,5,1745915633,3022,28,49
5,6,1745923744,11133,28,57
6,7,1745928927,16316,29,65
7,8,1745929486,16875,29,73
8,9,1745929529,16918,29,81
9,10,1745930539,17928,29,89
10,11,1745930640,18029,30,98
11,12,1745931834,19223,30,109
12,13,1745932769,20158,32,123
13,14,1745932888,20277,32,135
14,15,1745933012,20401,32,143
15,16,1745933125,20514,32,156
16,17,1745933343,20732,45,185
17,18,1745936684,24073,45,198
18,19,1745937170,24559,46,217
19,20,1745942069,29458,46,230
20,21,1745942132,29521,47,250
21,22,1745942312,29701,47,275
22,23,1745942497,29886,47,300
23,24,1745942627,30016,47,325
24,25,1745942761,30150,47,350
25,26,1745942828,30217,47,375
26,27,1745942896,30285,47,400
27,28,1745942963,30352,47,425
28,29,1745943031,30420,47,450
29,30,1745943099,30488,47,475
30,31,1745943167,30556,47,500
31,32,1745943236,30625,47,525
32,33,1745943304,30693,47,550
33,34,1745943373,30762,47,575
34,35,1745943441,30830,47,600
35,36,1745943510,30899,47,600
