turn,parse_dot,top_sort,cmin,revoke_seed,crash_tog,crash_tog_exec,fixpoint_tog,new_tog,opened_tog,sum_cost
1,6.560762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.724215
1,6.560762,0.002536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.776496
1,6.560762,0.002536,6.059607,0.0,0.0,0.0,0.0,0.0,0.0,22.839876
1,6.560762,0.002536,6.059607,0.0,0.0,0.0,0.0,0.0,472,22.840059
2,6.560762,0.002536,6.702745999999999,0.0,0.0,0.0,0.0,0.0,472,23.483279
2,6.560762,0.002536,6.702745999999999,0.0,0.0,0.0,0.0,0.001499,472,23.485227
2,6.560762,0.002536,6.702745999999999,0.0,0.0,0.0,0.0,0.001499,1296,23.485266
3,6.560762,0.002536,7.726636999999999,0.0,0.0,0.0,0.0,0.001499,1296,24.509239
3,6.560762,0.002536,7.726636999999999,0.0,0.0,0.0,0.109084,0.001499,1296,24.618459
3,6.560762,0.002536,7.726636999999999,0.0,0.0,0.0,0.109084,0.001499,1295,24.618523
3,6.560762,0.002536,8.015715,0.0,0.0,0.0,0.109084,0.001499,1295,24.907686
3,6.560762,0.002536,8.015715,0.279019,0.0,0.0,0.109084,0.001499,1295,25.186806
3,6.560762,0.002536,8.015715,0.279019,0.0,6.654231,0.109084,0.001499,1295,31.844166
3,6.560762,0.002536,8.015715,0.279019,0.0,15.274154,0.109084,0.001499,1295,40.464169
3,6.560762,0.002536,8.015715,0.279019,0.0,26.897737,0.109084,0.001499,1295,52.08784
3,6.560762,0.002536,8.015715,0.279019,0.0,31.554979,0.109084,0.001499,1295,56.745167
3,6.560762,0.002536,8.015715,0.279019,0.0,38.026419,0.109084,0.001499,1295,63.216692
3,6.560762,0.002536,8.015715,0.279019,0.0,47.773466,0.109084,0.001499,1295,72.963826
3,6.560762,0.002536,8.015715,0.279019,0.0,49.986634,0.109084,0.001499,1295,75.177092
