turn,parse_dot,top_sort,cmin,revoke_seed,crash_tog,crash_tog_exec,fixpoint_tog,new_tog,opened_tog,sum_cost
1,15.988875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.887246
1,15.988875,0.008458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05678
1,15.988875,0.008458,56.345031,0.0,0.0,0.0,0.0,0.0,0.0,101.406024
1,15.988875,0.008458,56.345031,0.0,0.0,0.0,0.0,0.0,970,101.406328
2,15.988875,0.008458,56.903286,0.0,0.0,0.0,0.0,0.0,970,101.964681
2,15.988875,0.008458,56.903286,0.492278,0.0,0.0,0.0,0.0,970,102.457136
2,15.988875,0.008458,56.903286,0.492278,0.0,49.461409,0.0,0.0,970,151.922634
2,15.988875,0.008458,56.903286,0.492278,0.0,123.405474,0.0,0.0,970,225.866794
2,15.988875,0.008458,56.903286,0.492278,0.0,238.9125,0.0,0.0,970,341.373917
2,15.988875,0.008458,56.903286,0.492278,0.0,438.195835,0.0,0.0,970,540.668285
2,15.988875,0.008458,56.903286,0.492278,0.0,791.145761,0.0,0.0,970,893.618349
2,15.988875,0.008458,56.903286,0.492278,0.0,1451.339651,0.0,0.0,970,1553.812381
2,15.988875,0.008458,56.903286,0.492278,0.0,1451.344484,0.0,0.0,970,1553.817613
2,15.988875,0.008458,56.903286,0.492278,0.0,1464.892803,0.0,0.0,970,1567.366054
2,15.988875,0.008458,56.903286,0.492278,0.0,1852.687095,0.0,0.0,970,1955.160447
2,15.988875,0.008458,56.903286,0.492278,0.0,2694.303389,0.0,0.0,970,2796.875407
2,15.988875,0.008458,56.903286,0.492278,0.0,3207.304156,0.0,0.0,970,3309.876309
2,15.988875,0.008458,56.903286,0.492278,0.0,3207.3230780000004,0.0,0.0,970,3309.895363
2,15.988875,0.008458,56.903286,0.492278,0.0,3972.5777180000005,0.0,0.0,970,4075.150118
2,15.988875,0.008458,56.903286,0.492278,0.0,3972.5943010000005,0.0,0.0,970,4075.166804
2,15.988875,0.008458,56.903286,0.492278,0.0,3972.6100660000006,0.0,0.0,970,4075.182676
2,15.988875,0.008458,56.903286,0.492278,0.0,3972.6251780000007,0.0,0.0,970,4075.19788
2,15.988875,0.008458,56.903286,0.492278,0.0,4948.489111000001,0.0,0.0,970,5051.061903
2,15.988875,0.008458,56.903286,0.492278,0.0,4948.504906000001,0.0,0.0,970,5051.842738
2,15.988875,0.008458,56.903286,0.492278,0.0,4948.519914000001,0.0,0.0,970,5051.857877
2,15.988875,0.008458,56.903286,0.492278,0.0,5758.234723000001,0.0,0.0,970,5863.953821
2,15.988875,0.008458,56.903286,0.492278,0.0,6576.015075000001,0.0,0.0,970,6681.734264
2,15.988875,0.008458,56.903286,0.492278,0.0,7427.058608000001,0.0,0.0,970,7532.777927
2,15.988875,0.008458,56.903286,0.492278,0.0,7427.066547000001,0.0,0.0,970,7532.785996
2,15.988875,0.008458,56.903286,0.492278,0.0,7427.069247000001,0.0,0.0,970,7532.788789
2,15.988875,0.008458,56.903286,0.492278,0.0,7427.071963000001,0.0,0.0,970,7532.791576
2,15.988875,0.008458,56.903286,0.492278,0.0,8288.892856,0.0,0.0,970,8394.612526
2,15.988875,0.008458,56.903286,0.492278,0.0,8288.8976,0.0,0.0,970,8394.617397
2,15.988875,0.008458,56.903286,0.492278,0.0,8288.901021,0.0,0.0,970,8394.620925
2,15.988875,0.008458,56.903286,0.492278,0.0,9161.178147999999,0.0,0.0,970,9267.466652
2,15.988875,0.008458,56.903286,0.492278,0.0,9176.758333999998,0.0,0.0,970,9283.046928
2,15.988875,0.008458,56.903286,0.492278,0.0,10062.176882999998,0.0,0.0,970,10168.465577
2,15.988875,0.008458,56.903286,0.492278,0.0,10062.181473999999,0.0,0.0,970,10168.470294
2,15.988875,0.008458,56.903286,0.492278,0.0,10062.185110999999,0.0,0.0,970,10168.474041
2,15.988875,0.008458,56.903286,0.492278,0.0,10945.331843999998,0.0,0.0,970,11052.177126
2,15.988875,0.008458,56.903286,0.492278,0.0,10947.516841999999,0.0,0.0,970,11055.891382
2,15.988875,0.008458,56.903286,0.492278,0.0,10947.520175,0.0,0.0,970,11055.89482
2,15.988875,0.008458,56.903286,0.492278,0.0,10998.572016,0.0,0.0,970,11107.420664
2,15.988875,0.008458,56.903286,0.492278,0.0,11875.019847,0.0,0.0,970,11984.412895
2,15.988875,0.008458,56.903286,0.492278,0.0,12772.158551999999,0.0,0.0,970,12881.551731
2,15.988875,0.008458,56.903286,0.492278,0.0,13715.694535999999,0.0,0.0,970,13825.087848
2,15.988875,0.008458,56.903286,0.492278,0.0,13715.699574999999,0.0,0.0,970,13825.093018
2,15.988875,0.008458,56.903286,0.492278,0.0,13715.703043999998,0.0,0.0,970,13825.096591
2,15.988875,0.008458,56.903286,0.492278,0.0,13715.706600999998,0.0,0.0,970,13825.100244
2,15.988875,0.008458,56.903286,0.492278,0.0,14667.696815999998,0.0,0.0,970,14777.090565
2,15.988875,0.008458,56.903286,0.492278,0.0,14667.701678999998,0.0,0.0,970,14777.09556
2,15.988875,0.008458,56.903286,0.492278,0.0,14667.705111999998,0.0,0.0,970,14777.0991
2,15.988875,0.008458,56.903286,0.492278,0.0,15633.866016999998,0.0,0.0,970,15743.716312
2,15.988875,0.008458,56.903286,0.492278,0.0,16614.681066999998,0.0,0.0,970,16724.531498
2,15.988875,0.008458,56.903286,0.492278,0.0,17025.696950999998,0.0,0.0,970,17135.547507
2,15.988875,0.008458,56.903286,0.492278,0.0,18009.491095999998,0.0,0.0,970,18119.341786
2,15.988875,0.008458,56.903286,0.492278,0.0,18009.500612999997,0.0,0.0,970,18119.351437
2,15.988875,0.008458,56.903286,0.492278,0.0,18009.508143999996,0.0,0.0,970,18119.35909
2,15.988875,0.008458,56.903286,0.492278,0.0,18009.516708999996,0.0,0.0,970,18119.36776
2,15.988875,0.008458,56.903286,0.492278,0.0,19005.946179999995,0.0,0.0,970,19116.348819
2,15.988875,0.008458,56.903286,0.492278,0.0,20027.468758999996,0.0,0.0,970,20137.871505
2,15.988875,0.008458,56.903286,0.492278,0.0,21091.246330999995,0.0,0.0,970,21202.05599
2,15.988875,0.008458,56.903286,0.492278,0.0,22213.879413999995,0.0,0.0,970,22324.68921
2,15.988875,0.008458,56.903286,0.492278,0.0,23469.101095999995,0.0,0.0,970,23579.911025
2,15.988875,0.008458,56.903286,0.492278,0.0,25021.783532999994,0.0,0.0,970,25132.833639
2,15.988875,0.008458,56.903286,0.492278,0.0,26211.298141999996,0.0,0.0,970,26322.348397
2,15.988875,0.008458,56.903286,0.492278,0.0,27941.279881999995,0.0,0.0,970,28052.330297
2,15.988875,0.008458,56.903286,0.492278,0.0,28398.042744999995,0.0,0.0,970,28509.248284
2,15.988875,0.008458,56.903286,0.492278,0.0,30284.717716999996,0.0,0.0,970,30395.923411
2,15.988875,0.008458,56.903286,0.492278,0.0,30289.089952999995,0.0,0.0,970,30400.295797
2,15.988875,0.008458,56.903286,0.492278,0.0,30289.118568999995,0.0,0.0,970,30400.324521
2,15.988875,0.008458,56.903286,0.492278,0.0,30293.230954999995,0.0,0.0,970,30404.437104
2,15.988875,0.008458,56.903286,0.492278,0.0,30293.258611999994,0.0,0.0,970,30404.464873
2,15.988875,0.008458,56.903286,0.492278,0.0,30293.288411999994,0.0,0.0,970,30404.49483
2,15.988875,0.008458,56.903286,0.492278,0.0,30297.686446999993,0.0,0.0,970,30408.892983
2,15.988875,0.008458,56.903286,0.492278,0.0,30297.714875999995,0.0,0.0,970,30408.921549
2,15.988875,0.008458,56.903286,0.492278,0.0,30297.743633999995,0.0,0.0,970,30408.950447
2,15.988875,0.008458,56.903286,0.492278,0.0,30297.772977999994,0.0,0.0,970,30408.979929
2,15.988875,0.008458,56.903286,0.492278,0.0,30297.802996999995,0.0,0.0,970,30409.010066
2,15.988875,0.008458,56.903286,0.492278,0.0,30297.832761999995,0.0,0.0,970,30409.039963
