turn,parse_dot,top_sort,cmin,revoke_seed,crash_tog,crash_tog_exec,fixpoint_tog,new_tog,opened_tog,sum_cost
1,39.657846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.090766
1,39.657846,0.021922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.635226
1,39.657846,0.021922,1.605562,0.0,0.0,0.0,0.0,0.0,0.0,45.287619
1,39.657846,0.021922,1.605562,0.0,0.0,0.0,0.0,0.0,860,45.287804
2,39.657846,0.021922,117.84426900000001,0.0,0.0,0.0,0.0,0.0,860,161.526592
2,39.657846,0.021922,117.84426900000001,0.0,0.0,0.0,0.0,0.00857,860,161.535633
2,39.657846,0.021922,117.84426900000001,0.0,0.0,0.0,0.0,0.00857,7352,161.535687
3,39.657846,0.021922,124.320068,0.0,0.0,0.0,0.0,0.00857,7352,168.011578
3,39.657846,0.021922,124.320068,0.0,0.0,0.0,1.625835,0.00857,7352,169.637549
3,39.657846,0.021922,124.320068,0.0,0.0,0.0,1.625835,0.00857,7351,169.637623
3,39.657846,0.021922,130.785219,0.0,0.0,0.0,1.625835,0.00857,7351,176.102866
3,39.657846,0.021922,130.785219,0.0,0.0,0.0,1.8267849999999999,0.00857,7351,176.303956
3,39.657846,0.021922,130.785219,0.0,0.0,0.0,1.8267849999999999,0.00857,7348,176.304313
3,39.657846,0.021922,258.977121,0.0,0.0,0.0,1.8267849999999999,0.00857,7348,304.496357
3,39.657846,0.021922,258.977121,0.0,0.0,0.0,2.382269,0.00857,7348,305.052012
3,39.657846,0.021922,258.977121,0.0,0.0,0.0,2.382269,0.00857,7346,305.052083
3,39.657846,0.021922,389.458886,0.0,0.0,0.0,2.382269,0.00857,7346,435.53394
3,39.657846,0.021922,389.458886,0.0,0.0,0.0,2.802608,0.00857,7346,435.954431
3,39.657846,0.021922,389.458886,0.0,0.0,0.0,2.802608,0.00857,7340,435.9545
3,39.657846,0.021922,519.517745,0.0,0.0,0.0,2.802608,0.00857,7340,566.013445
3,39.657846,0.021922,519.517745,0.0,0.0,0.0,3.231541,0.00857,7340,566.4426
3,39.657846,0.021922,519.517745,0.0,0.0,0.0,3.231541,0.00857,7317,566.44284
3,39.657846,0.021922,651.393024,0.0,0.0,0.0,3.231541,0.00857,7317,698.318272
3,39.657846,0.021922,651.393024,0.0,0.0,0.0,3.9493080000000003,0.00857,7317,699.036284
3,39.657846,0.021922,651.393024,0.0,0.0,0.0,3.9493080000000003,0.00857,7272,699.036389
3,39.657846,0.021922,790.263395,0.0,0.0,0.0,3.9493080000000003,0.00857,7272,837.906916
3,39.657846,0.021922,790.263395,0.0,0.0,0.0,4.392413,0.00857,7272,838.35024
3,39.657846,0.021922,790.263395,0.0,0.0,0.0,4.392413,0.00857,7269,838.350311
3,39.657846,0.021922,2305.6174140000003,0.0,0.0,0.0,4.392413,0.00857,7269,2353.704421
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,0.0,4.392413,0.00857,7269,2361.76818
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,5.020824,4.392413,0.00857,7269,2366.799444
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,10.017328,4.392413,0.00857,7269,2371.796065
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,15.862548999999998,4.392413,0.00857,7269,2377.64137
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,20.233441999999997,4.392413,0.00857,7269,2382.012345
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,151.068261,4.392413,0.00857,7269,2512.847284
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,283.260452,4.392413,0.00857,7269,2645.039582
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,416.415075,4.392413,0.00857,7269,2778.194364
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,551.201242,4.392413,0.00857,7269,2912.980701
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,689.490076,4.392413,0.00857,7269,3051.269783
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,830.7572950000001,4.392413,0.00857,7269,3192.537311
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,981.2446910000001,4.392413,0.00857,7269,3343.025185
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,1143.5168,4.392413,0.00857,7269,3505.298081
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,1460.655362,4.392413,0.00857,7269,3822.437419
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,1537.71433,4.392413,0.00857,7269,3899.497382
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,1700.1186950000001,4.392413,0.00857,7269,4061.902779
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,1705.1348220000002,4.392413,0.00857,7269,4067.151067
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,1875.7340240000003,4.392413,0.00857,7269,4237.750628
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,2039.9928800000002,4.392413,0.00857,7269,4402.009839
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,2178.3919010000004,4.392413,0.00857,7269,4540.409393
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,2346.9797730000005,4.392413,0.00857,7269,4708.997904
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,3026.9106680000004,4.392413,0.00857,7269,5388.92929
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,3072.5493860000006,4.392413,0.00857,7269,5434.568648
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,3247.5899000000004,4.392413,0.00857,7269,5609.60957
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,4565.374833,4.392413,0.00857,7269,6927.394865
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,4634.460919,4.392413,0.00857,7269,6996.481473
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,4698.448038,4.392413,0.00857,7269,7060.469265
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,4704.767717000001,4.392413,0.00857,7269,7066.789375
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,5207.343554000001,4.392413,0.00857,7269,7569.365513
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,5530.810823000001,4.392413,0.00857,7269,7892.833021
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,6007.990967000001,4.392413,0.00857,7269,8370.013355
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,6275.327437000001,4.392413,0.00857,7269,8637.349999
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,6737.682732000001,4.392413,0.00857,7269,9099.705439
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,7624.786526000001,4.392413,0.00857,7269,9986.809382
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,7655.582818000001,4.392413,0.00857,7269,10017.697414
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,7918.990678000001,4.392413,0.00857,7269,10281.10538
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,8063.405947000001,4.392413,0.00857,7269,11268.197431
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,8691.764377000001,4.392413,0.00857,7269,12649.453417
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,8816.144585000002,4.392413,0.00857,7269,14113.99344
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,9607.744002000001,4.392413,0.00857,7269,15677.521395
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,9948.567534000002,4.392413,0.00857,7269,16069.501485
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,10604.415063000002,4.392413,0.00857,7269,17810.993289
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,10778.498469000002,4.392413,0.00857,7269,17998.929363
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,10957.969813000002,4.392413,0.00857,7269,18259.549382
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,11263.386409000002,4.392413,0.00857,7269,19914.885499
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,11709.041790000003,4.392413,0.00857,7269,20451.885498
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,13031.931802000003,4.392413,0.00857,7269,21965.436037
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,13173.470029000004,4.392413,0.00857,7269,22106.974405
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,14470.062602000004,4.392413,0.00857,7269,23403.567115
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,14625.003211000003,4.392413,0.00857,7269,23558.507864
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,14832.972573000003,4.392413,0.00857,7269,23766.477378
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,15669.280212000003,4.392413,0.00857,7269,24649.273563
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,15722.762716000003,4.392413,0.00857,7269,25148.361944
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,16075.550402000003,4.392413,0.00857,7269,26859.257373
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,16231.165697000002,4.392413,0.00857,7269,27098.549289
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,16700.649057000002,4.392413,0.00857,7269,27656.669368
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,17147.233336,4.392413,0.00857,7269,28110.825329
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,17535.75646,4.392413,0.00857,7269,28614.805266
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,18110.083971,4.392413,0.00857,7269,30510.082404
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,18483.215605,4.392413,0.00857,7269,31615.469402
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,18776.787004,4.392413,0.00857,7269,32322.557338
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,18781.798668000003,4.392413,0.00857,7269,32792.717452
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,18992.511621,4.392413,0.00857,7269,33388.762931
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,19017.623054,4.392413,0.00857,7269,33592.821385
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,19042.726403,4.392413,0.00857,7269,33643.68533
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,19140.618724,4.392413,0.00857,7269,33790.522314
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,19688.890033,4.392413,0.00857,7269,35098.557318
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,19875.012491,4.392413,0.00857,7269,36623.937476
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,20480.095745000002,4.392413,0.00857,7269,37463.601369
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,20516.955215,4.392413,0.00857,7269,37545.485255
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,21449.674596,4.392413,0.00857,7269,38688.10139
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,21629.097873000002,4.392413,0.00857,7269,40119.61749
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,21787.537561,4.392413,0.00857,7269,40392.117418
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,21834.453257,4.392413,0.00857,7269,41063.221466
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,21963.636941,4.392413,0.00857,7269,41955.021448
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,22639.940637,4.392413,0.00857,7269,43302.349428
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,22802.336713,4.392413,0.00857,7269,44715.745351
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,23906.024061,4.392413,0.00857,7269,45897.297418
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,24194.609327,4.392413,0.00857,7269,46446.315311
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,24611.940765,4.392413,0.00857,7269,47139.109468
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,24705.080364999998,4.392413,0.00857,7269,47388.833386
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,24861.995818,4.392413,0.00857,7269,47867.129204
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,24971.191164,4.392413,0.00857,7269,49201.717377
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,25565.266761,4.392413,0.00857,7269,49891.873334
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,25570.27836,4.392413,0.00857,7269,50069.613361
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,26432.249673,4.392413,0.00857,7269,51191.721357
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,26468.824031,4.392413,0.00857,7269,51342.800375
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,27171.819383000002,4.392413,0.00857,7269,52803.997399
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,27249.215162,4.392413,0.00857,7269,53190.765459
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,27458.034862,4.392413,0.00857,7269,53555.769367
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,28087.282254,4.392413,0.00857,7269,55434.805387
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,29079.793585000003,4.392413,0.00857,7269,57096.429363
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,29430.468954000004,4.392413,0.00857,7269,57798.313105
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,30157.628368000005,4.392413,0.00857,7269,58769.181466
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,30360.574641000007,4.392413,0.00857,7269,59148.44939
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,30683.406262000008,4.392413,0.00857,7269,59641.749365
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,30899.997541000008,4.392413,0.00857,7269,60230.92103
3,39.657846,0.021922,2305.6174140000003,7.829009,0.0,31452.61694700001,4.392413,0.00857,7269,61547.441449
