,rnd,time,rel_time,seed_cnt
0,1,1745914310,0,304
1,2,1745914312,2,304
2,3,1745914421,111,309
3,4,1745915207,897,311
4,5,1745917598,3288,311
5,6,1745918219,3909,311
6,7,1745918240,3930,311
7,8,1745920076,5766,311
8,9,1745926498,12188,311
9,10,1745927984,13674,311
10,11,1745928088,13778,311
11,12,1745930318,16008,324
12,13,1745931675,17365,324
13,14,1745931748,17438,325
14,15,1745940387,26077,325
15,16,1745943487,29177,325
16,17,1745948604,34294,325
17,18,1745948829,34519,325
18,19,1745949297,34987,325
19,20,1745949762,35452,327
20,21,1745951706,37396,328
21,22,1745952218,37908,328
22,23,1745952746,38436,328
23,24,1745956814,42504,328
24,25,1745959761,45451,329
25,26,1745960310,46000,331
26,27,1745965468,51158,339
27,28,1746075741,161431,341
28,29,1746075915,161605,346
29,30,1746076288,161978,354
30,31,1746092640,178330,354
31,32,1746106355,192045,376
32,33,1746278026,363716,378
33,34,1746278207,363897,378
